frame,landmark,x,y,z,visibility
0,0,0.3474663591384887,3.1305659294128416,-0.34146786689758296,1.0
0,1,0.39317974090576174,3.1647628784179687,-0.2919634509086609,1.0
0,2,0.39219002723693847,3.1653668403625486,-0.26871678829193113,1.0
0,3,0.38931465625762934,3.1601943969726562,-0.27698266983032227,1.0
0,4,0.3404612445831299,3.1839938163757324,-0.33487233638763425,1.0
0,5,0.35287292003631593,3.179971218109131,-0.35599280118942256,1.0
0,6,0.35183039903640745,3.1688481330871583,-0.31528609514236444,1.0
0,7,0.46735522270202634,3.147938060760498,-0.028263101577758788,1.0
0,8,0.1049505043029785,3.094976806640625,-0.1664453601837158,1.0
0,9,0.3971761894226074,3.123389911651611,-0.22043380737304688,1.0
0,10,0.31674450874328614,3.0697013854980466,-0.3096942687034607,1.0
0,11,0.54258234500885,2.857975959777832,0.2587708568572998,1.0
0,12,-0.20328279733657836,3.009397602081299,0.07029632627964019,1.0
0,13,0.6573039007186889,2.364779806137085,0.2934264349937439,1.0
0,14,-0.33043508291244506,2.4257523536682126,-0.07766524493694305,1.0
0,15,0.5482951068878174,2.05450758934021,0.1918252372741699,1.0
0,16,-0.18114150524139402,2.149824571609497,-0.2707326507568359,1.0
0,17,0.5047096395492554,1.996177053451538,0.18405189514160156,1.0
0,18,-0.06328411996364593,2.0927823543548585,-0.32591749191284175,1.0
0,19,0.440723762512207,2.0057790756225584,0.1397170293331146,1.0
0,20,0.04595335900783539,2.162909173965454,-0.29379930496215817,1.0
0,21,0.5219782161712646,2.0141921997070313,0.17718129873275756,1.0
0,22,-0.12501651763916014,2.1599870681762696,-0.2680230402946472,1.0
0,23,0.19438608169555663,1.9801719188690186,0.15668706536293028,1.0
0,24,-0.19441097259521484,2.0147343635559083,-0.15671149492263795,1.0
0,25,0.32726975440979,1.3754180431365965,-0.09383455038070677,1.0
0,26,-0.25567824840545655,1.5455049991607666,-0.25982009410858153,1.0
0,27,0.05198138236999512,0.8319242477416992,0.05182193040847778,1.0
0,28,-0.5518544197082519,0.9277693748474121,-0.006961993351578713,1.0
0,29,-0.030831563472747802,0.7783058881759644,0.06087712168693542,1.0
0,30,-0.5579895114898681,0.8820777654647827,-0.05960670948028564,1.0
0,31,-0.012396783828735351,0.7259917974472045,-0.0352929675579071,1.0
0,32,-0.5789269638061523,0.8438705921173095,-0.18369232892990112,1.0
1,0,0.35191989898681636,3.401158046722412,-0.6275713348388671,1.0
1,1,0.39948971271514894,3.4447222709655763,-0.5806565380096436,1.0
1,2,0.3975372791290283,3.4442118644714355,-0.5512948036193848,1.0
1,3,0.3957075405120849,3.440845012664795,-0.5615182256698608,1.0
1,4,0.34863365650177,3.4688418388366697,-0.6284529876708984,1.0
1,5,0.3610688495635986,3.464288520812988,-0.6550938892364502,1.0
1,6,0.3568347787857055,3.444088840484619,-0.6040064764022827,1.0
1,7,0.470353717803955,3.4133946418762204,-0.25683511734008785,1.0
1,8,0.09066434025764464,3.3492848396301267,-0.38609819412231444,1.0
1,9,0.40390557289123535,3.383554744720459,-0.47482652664184566,1.0
1,10,0.3235019588470459,3.314600658416748,-0.5720140314102172,1.0
1,11,0.5393039131164551,3.0403693199157713,0.12425288200378418,1.0
1,12,-0.2500721740722656,3.2383606910705565,-0.02488060802221298,1.0
1,13,0.6547512102127075,2.46683235168457,0.19461894035339355,1.0
1,14,-0.37973959922790523,2.534051513671875,-0.14526277542114255,1.0
1,15,0.5883327198028564,2.047298955917358,0.10392585754394532,1.0
1,16,-0.2925391602516174,2.157158946990967,-0.39696641921997067,1.0
1,17,0.5465650177001953,1.9715739727020263,0.0772957545518875,1.0
1,18,-0.17715224504470825,2.0810398578643796,-0.487171425819397,1.0
1,19,0.48837816238403314,1.9788129329681396,0.01169042944908142,1.0
1,20,-0.07439433932304382,2.15759596824646,-0.4881189107894897,1.0
1,21,0.5653403949737549,1.9922199726104735,0.08133888959884643,1.0
